split,mse,r2,rank_ic
0,0.06905750873888968,0.15815608394496394,0.36132376168349906
1,0.06874754593128438,0.16193467817100948,0.4496402683069819
2,0.08797171285466036,-0.07241707099014527,0.3460648252411768
3,0.047906964258820205,0.4159912928448585,0.6881704218970138
4,0.08445311907852675,-0.029523737338230882,0.4538818860421477
5,0.07124440582374815,0.13149676710097502,0.5277985798581005
6,0.10344235732396714,-0.2610115940445519,0.27016471705540834
7,0.12956315012543876,-0.5794364967672534,-0.11439266904334028
8,0.07832094059746217,0.045230438430937325,0.32281603071900655
9,0.07010817209948968,0.1453479972633639,0.4846364629870935
10,0.09785725787727848,-0.19292657221825182,0.19575673298016205
11,0.11981539204944977,-0.4606066840313876,-0.07858517348526689
12,0.08064031514111653,0.01695615827972241,0.20007671745461728
13,0.08563618467713864,-0.04394587034988051,0.39905450836986045
14,0.12330442566837173,-0.5031396652906268,-0.11367898395368677
